Word,Synonyms
Amazing,Incredible Fantastic Fabulous
Answer,Respond
Awful,Terrible  Dreadful
Bad,Evil Spoiled Imperfect Infamous
Beautiful,Gorgeous Dazzling Stunning
Begin,Initiate Inaugurate
Big,Huge Enormous Gigantic Humongous
Break,Rupture Fracture Shatter
Calm,Serene Peace
Come,Approach Arrive
Cool,Chilly Frosty Icy
Cut,Chop Slash Slit
Dangerous,Hazardous Risky
Decide,Determine Settle
Definite,Certain Positive Obvious
Delicious,Savoury
Describe,Portray Characterise
Destroy,Demolish Slay Ruin
Difference,Disagreement Inequity Dissimilarity
Dull,Boring Uninteresting
End,Terminate Conclude
Explain,Elaborate Interpret
Fall,Drop Descend
Famous,Well-known Renowned
Fast,Quick Rapid Swift
Fat,Chubby Bulky
Funny,Amusing Humorous Hilarious
Get,Acquire Obtain Secure Gather
Good,Excellent Fine Wonderful Superior Gracious Superb Splendid Genuine Top-notch
Great,Worthy Distinguished Grand Considerable Mighty
Happy,Pleased Delighted Joyful Jubilant
Hate,Despise Loathe
Have,Possess Own Acquire
Help,Aid Assist Support Encourage Relieve
Hide,Conceal Cover Mask Veil
Idea,Thought Concept Notion
Important,Necessary Vital Critical Valuable Essential Famous Notable
Interesting,Fascinating Engaging Intriguing Captivating
Little,Tiny Cramped
Look,Gaze Glance Peek Glimpse Stare
Love,Like Admire Fancy Care for Adore
Make,Create Originate Invent Construct Manufacture Produce Compose
Move,Creep Crawl Drag
Neat,Orderly Tidy Smart Elegant
New,Unique Modern Current Recent
Old,Feeble Ancient Aged Veteran Mature
Place,Location site venue area
Draw, Map Diagram Procedure Method Blueprint
Show,Display Exhibit Indicate Reveal Demonstrate
Tell,Disclose Reveal Expose Narrate Inform
Use,Employ Utilise Exhaust Spend
Wrong,Incorrect Inaccurate Mistaken Improper Unsuitable
